id,path,preprocess_ms,infer_ms,postprocess_ms,total_ms,class_id,score
0,data/images/part_001.png,2.13792,8.08255,2.05936,13.4131,0,0
1,data/images/part_002.png,2.12247,8.07871,2.10025,20.4786,0,0.00392157
2,data/images/part_003.png,2.12636,8.08851,2.06496,27.4813,0,0.00784314
3,data/images/part_004.png,2.09606,8.07517,2.06783,34.6089,0,0.0117647
4,data/images/part_005.png,2.04113,8.10022,2.06609,41.5786,0,0.0156863
5,data/images/part_006.png,2.09001,8.0874,2.06752,48.5872,0,0.0196078
6,data/images/part_007.png,2.15061,8.09657,2.08469,55.6116,0,0.0235294
7,data/images/part_008.png,2.1303,8.10163,2.27966,62.8589,0,0.027451
8,data/images/part_001.png,2.11945,8.10153,2.08646,69.7119,0,0.0313726
9,data/images/part_002.png,2.09165,8.48313,2.08502,77.0675,0,0.0352941
10,data/images/part_003.png,2.14635,8.28858,2.07687,84.3511,0,0.0392157
11,data/images/part_004.png,2.13116,8.30577,2.0854,91.5849,0,0.0431373
12,data/images/part_005.png,2.08091,8.09938,2.08686,98.6486,0,0.0470588
13,data/images/part_006.png,2.11756,8.10109,2.09049,105.678,0,0.0509804
14,data/images/part_007.png,2.1136,8.26281,2.09354,112.958,0,0.054902
15,data/images/part_008.png,2.06818,8.121,2.08616,120.143,0,0.0588235
16,data/images/part_001.png,2.0889,8.09194,2.08648,126.959,0,0.0627451
17,data/images/part_002.png,2.27825,8.28693,2.24322,134.306,0,0.0666667
18,data/images/part_003.png,2.09152,8.09578,2.09153,140.434,0,0.0705882
19,data/images/part_004.png,2.08966,8.09025,2.08636,146.439,0,0.0745098
20,data/images/part_005.png,2.08909,8.09083,2.086,152.357,0,0.0784314
21,data/images/part_006.png,2.0893,8.09008,2.08447,157.235,0,0.0823529
22,data/images/part_007.png,2.09457,8.09295,2.06195,157.264,0,0.0862745
23,data/images/part_008.png,2.08975,8.20708,2.0941,157.394,0,0.0901961
24,data/images/part_001.png,2.09229,8.09181,2.08592,157.396,0,0.0941176
25,data/images/part_002.png,2.09182,8.08758,2.28779,157.562,0,0.0980392
26,data/images/part_003.png,2.0914,8.06902,2.08747,157.317,0,0.101961
27,data/images/part_004.png,2.24082,8.09597,2.29124,157.542,0,0.105882
28,data/images/part_005.png,2.0979,8.10709,2.08795,156.989,0,0.109804
29,data/images/part_006.png,2.10585,8.09515,2.08665,156.722,0,0.113725
30,data/images/part_007.png,2.0928,8.09115,2.06763,156.565,0,0.117647
31,data/images/part_008.png,2.08897,8.09266,2.09433,156.531,0,0.121569
32,data/images/part_001.png,2.07103,8.10495,2.09289,156.589,0,0.12549
33,data/images/part_002.png,2.09025,8.10079,2.25761,156.501,0,0.129412
34,data/images/part_003.png,2.09113,8.09946,2.28241,156.392,0,0.133333
35,data/images/part_004.png,2.27896,8.29841,2.08816,156.577,0,0.137255
36,data/images/part_005.png,2.10198,8.48948,2.1011,156.792,0,0.141176
37,data/images/part_006.png,2.29256,8.09253,2.08987,156.733,0,0.145098
38,data/images/part_007.png,2.067,8.08838,2.08887,156.817,0,0.14902
39,data/images/part_008.png,2.09616,8.28578,2.08816,157.057,0,0.152941
40,data/images/part_001.png,2.07198,8.08718,2.08744,156.98,0,0.156863
41,data/images/part_002.png,2.09292,8.08949,2.10092,157.042,0,0.160784
42,data/images/part_003.png,2.11852,8.10345,2.0918,156.906,0,0.164706
43,data/images/part_004.png,2.29055,8.09102,2.09129,156.881,0,0.168627
44,data/images/part_005.png,2.28219,8.31147,2.08615,157.148,0,0.172549
45,data/images/part_006.png,2.0931,8.09189,2.09103,157.172,0,0.176471
46,data/images/part_007.png,2.10009,8.32281,2.08595,157.405,0,0.180392
47,data/images/part_008.png,2.09386,8.03269,3.97682,159.151,0,0.184314
48,data/images/part_001.png,2.09616,8.09098,2.28835,157.504,0,0.188235
49,data/images/part_002.png,2.0913,8.09171,2.08687,157.303,0,0.192157
50,data/images/part_003.png,2.0945,8.11536,2.22292,157.453,0,0.196078
51,data/images/part_004.png,2.07839,8.09173,2.06708,157.262,0,0.2
52,data/images/part_005.png,2.10165,8.11301,2.17079,157.428,0,0.203922
53,data/images/part_006.png,2.09225,8.11672,2.08589,157.306,0,0.207843
54,data/images/part_007.png,2.09169,8.11994,2.11313,157.134,0,0.211765
55,data/images/part_008.png,2.09967,8.10408,2.08833,156.666,0,0.215686
56,data/images/part_001.png,2.32612,8.09707,2.08504,156.808,0,0.219608
57,data/images/part_002.png,2.10144,8.11711,2.09679,156.935,0,0.223529
58,data/images/part_003.png,2.25312,8.09299,2.09235,156.687,0,0.227451
59,data/images/part_004.png,2.09084,8.2136,2.28801,156.936,0,0.231373
60,data/images/part_005.png,2.18828,8.10212,2.06402,156.887,0,0.235294
61,data/images/part_006.png,2.05843,8.09354,2.088,156.752,0,0.239216
62,data/images/part_007.png,2.09065,8.2929,2.08476,156.941,0,0.243137
63,data/images/part_008.png,2.09576,8.10154,2.08415,156.681,0,0.247059
64,data/images/part_001.png,2.1419,8.28035,2.09059,156.992,0,0.25098
